Disease,Primary Antibiotic,Alternate Antibiotic 1,Alternate Antibiotic 2,Reason for Recommendation
typhoid_fever,Doxycycline,Ciprofloxacin,Gentamicin,Effective against common pathogens causing this disease.
urinary_tract_infection,Doxycycline,Clindamycin,Gentamicin,Effective against common pathogens causing this disease.
campylobacteriosis,Ceftriaxone,Linezolid,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Vancomycin,Clindamycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
diphtheria,Ceftriaxone,Linezolid,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
bacterial_meningitis,Azithromycin,Linezolid,Ampicillin,Effective against common pathogens causing this disease.
strep_throat,Azithromycin,Linezolid,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
pyelonephritis,Doxycycline,Erythromycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
sinusitis,Ceftriaxone,Linezolid,Ampicillin,Effective against common pathogens causing this disease.
cholera,Doxycycline,Erythromycin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
legionnaires_disease,Ceftriaxone,Metronidazole,Gentamicin,Effective against common pathogens causing this disease.
ear_infection,Azithromycin,Erythromycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
osteomyelitis,Doxycycline,Ciprofloxacin,Gentamicin,Effective against common pathogens causing this disease.
whooping_cough,Amoxicillin,Ciprofloxacin,Gentamicin,Chosen for its targeted activity and minimal side effects.
tuberculosis,Vancomycin,Linezolid,Rifampin,Recommended based on clinical guidelines and resistance patterns.
bacterial_endocarditis,Vancomycin,Clindamycin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
chlamydia,Vancomycin,Ciprofloxacin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
scarlet_fever,Amoxicillin,Ciprofloxacin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
skin_abscess,Doxycycline,Metronidazole,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
typhoid_fever,Doxycycline,Clindamycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
urinary_tract_infection,Vancomycin,Erythromycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
campylobacteriosis,Ceftriaxone,Erythromycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Azithromycin,Ciprofloxacin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
diphtheria,Azithromycin,Ciprofloxacin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
bacterial_meningitis,Ceftriaxone,Metronidazole,Rifampin,Recommended based on clinical guidelines and resistance patterns.
strep_throat,Amoxicillin,Metronidazole,Rifampin,Effective against common pathogens causing this disease.
pyelonephritis,Vancomycin,Clindamycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
sinusitis,Ceftriaxone,Linezolid,Rifampin,Effective against common pathogens causing this disease.
cholera,Amoxicillin,Erythromycin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
legionnaires_disease,Azithromycin,Erythromycin,Ampicillin,Chosen for its targeted activity and minimal side effects.
ear_infection,Azithromycin,Metronidazole,Ampicillin,Chosen for its targeted activity and minimal side effects.
osteomyelitis,Amoxicillin,Linezolid,Ampicillin,Chosen for its targeted activity and minimal side effects.
whooping_cough,Azithromycin,Erythromycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
tuberculosis,Ceftriaxone,Linezolid,Gentamicin,Chosen for its targeted activity and minimal side effects.
bacterial_endocarditis,Vancomycin,Clindamycin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
chlamydia,Doxycycline,Clindamycin,Rifampin,Chosen for its targeted activity and minimal side effects.
scarlet_fever,Amoxicillin,Ciprofloxacin,Rifampin,Effective against common pathogens causing this disease.
skin_abscess,Ceftriaxone,Ciprofloxacin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
typhoid_fever,Azithromycin,Clindamycin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
urinary_tract_infection,Azithromycin,Clindamycin,Gentamicin,Effective against common pathogens causing this disease.
campylobacteriosis,Azithromycin,Clindamycin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Azithromycin,Linezolid,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
diphtheria,Azithromycin,Metronidazole,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_meningitis,Doxycycline,Erythromycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
strep_throat,Amoxicillin,Linezolid,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
pyelonephritis,Doxycycline,Erythromycin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
sinusitis,Ceftriaxone,Erythromycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
cholera,Doxycycline,Erythromycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
legionnaires_disease,Doxycycline,Metronidazole,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
ear_infection,Azithromycin,Clindamycin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
osteomyelitis,Ceftriaxone,Clindamycin,Ampicillin,Effective against common pathogens causing this disease.
whooping_cough,Doxycycline,Linezolid,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
tuberculosis,Ceftriaxone,Clindamycin,Tetracycline,Effective against common pathogens causing this disease.
bacterial_endocarditis,Azithromycin,Clindamycin,Tetracycline,Effective against common pathogens causing this disease.
chlamydia,Ceftriaxone,Metronidazole,Gentamicin,Effective against common pathogens causing this disease.
scarlet_fever,Ceftriaxone,Ciprofloxacin,Levofloxacin,Effective against common pathogens causing this disease.
skin_abscess,Vancomycin,Erythromycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
typhoid_fever,Vancomycin,Ciprofloxacin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
urinary_tract_infection,Vancomycin,Linezolid,Rifampin,Chosen for its targeted activity and minimal side effects.
campylobacteriosis,Vancomycin,Linezolid,Rifampin,Chosen for its targeted activity and minimal side effects.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Doxycycline,Ciprofloxacin,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
diphtheria,Azithromycin,Ciprofloxacin,Ampicillin,Chosen for its targeted activity and minimal side effects.
bacterial_meningitis,Azithromycin,Ciprofloxacin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
strep_throat,Doxycycline,Ciprofloxacin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
pyelonephritis,Vancomycin,Clindamycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
sinusitis,Doxycycline,Metronidazole,Ampicillin,Chosen for its targeted activity and minimal side effects.
cholera,Azithromycin,Clindamycin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
legionnaires_disease,Vancomycin,Linezolid,Rifampin,Effective against common pathogens causing this disease.
ear_infection,Ceftriaxone,Erythromycin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
osteomyelitis,Ceftriaxone,Ciprofloxacin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
whooping_cough,Doxycycline,Metronidazole,Levofloxacin,Effective against common pathogens causing this disease.
tuberculosis,Doxycycline,Erythromycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
bacterial_endocarditis,Vancomycin,Clindamycin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
chlamydia,Amoxicillin,Ciprofloxacin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
scarlet_fever,Ceftriaxone,Erythromycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
skin_abscess,Doxycycline,Ciprofloxacin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
typhoid_fever,Vancomycin,Linezolid,Rifampin,Recommended based on clinical guidelines and resistance patterns.
urinary_tract_infection,Doxycycline,Clindamycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
campylobacteriosis,Doxycycline,Linezolid,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Vancomycin,Ciprofloxacin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
diphtheria,Amoxicillin,Clindamycin,Rifampin,Effective against common pathogens causing this disease.
bacterial_meningitis,Ceftriaxone,Metronidazole,Rifampin,Effective against common pathogens causing this disease.
strep_throat,Azithromycin,Linezolid,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
pyelonephritis,Amoxicillin,Metronidazole,Rifampin,Minimizes risk of resistance while effectively treating the infection.
sinusitis,Vancomycin,Metronidazole,Gentamicin,Chosen for its targeted activity and minimal side effects.
cholera,Amoxicillin,Linezolid,Tetracycline,Effective against common pathogens causing this disease.
legionnaires_disease,Vancomycin,Linezolid,Levofloxacin,Chosen for its targeted activity and minimal side effects.
ear_infection,Azithromycin,Erythromycin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
osteomyelitis,Doxycycline,Clindamycin,Rifampin,Effective against common pathogens causing this disease.
whooping_cough,Azithromycin,Clindamycin,Levofloxacin,Effective against common pathogens causing this disease.
tuberculosis,Azithromycin,Clindamycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
